Country,Wins,Overall Top goalscorers,Goals scored,Country of origin
Egypt,7,Samuel Etoo,18,Cameroon
Cameroon,5,Laurent Pokou,14,Ivory Coast
Ghana,4,Rashidi Yekini,13,Nigeria
Nigeria,3,Hassan Elshazly,12,Egypt
Algeria,2,Patrick Mboma,11,Cameroon
Ivory Coast,2,Hossam Hassan,11,Egypt
Democratic Republic of Congo,2,Didier Drogba,11,Ivory Coast
Zambia,1,Mengistu Worku,10,Ethiopia
Tunisia,1,Ndaye Mulamba,10,Democratic Republic of Congo
South Africa,1,Kalusha Bwalya,10,Zambia
Morocco,1,Francileudo Santos,10,Tunisia
People Republic of Congo,1,Andre Ayew,10,Ghana
Sudan,1,Abdoulaye Traore,9,Ivory Coast
Ethiopia,1,Manucho,9,Angola
